"date","Albania","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Euro area","European Union (current composition)","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Montenegro","Netherlands","North Macedonia","Poland","Portugal","Romania","Serbia","Slovak Republic","Slovenia","Spain","Sweden","Turkey","United Kingdom"
1990-07-01,NA,NA,5.8,NA,NA,NA,NA,20,NA,19.8,19.8,-3.6,19.4,24.2,31.1,NA,12.5,30.2,NA,NA,NA,NA,NA,7.6,NA,NA,2.1,NA,NA,NA,NA,3.1,NA,NA,24.6
1990-08-01,NA,NA,6.6,NA,NA,NA,NA,20,NA,22.8,22.7,-3.6,19.4,33.5,36.4,NA,24.2,30.2,NA,NA,NA,NA,NA,-3.3,NA,NA,4.9,NA,NA,NA,NA,6,NA,NA,32.3
1990-09-01,NA,NA,10.6,NA,NA,NA,NA,31,NA,32.1,32,-3.6,25.2,41.2,38.8,NA,27.4,40.4,NA,NA,NA,NA,NA,8.4,NA,NA,7.7,NA,NA,NA,NA,30.3,NA,NA,35
1990-10-01,NA,NA,15,NA,NA,NA,NA,36,NA,31.4,31.5,-3.6,27.1,36.2,41.2,NA,22.2,40.8,NA,NA,NA,NA,NA,14.7,NA,NA,8.9,NA,NA,NA,NA,29.7,NA,NA,37.9
1990-11-01,NA,NA,20.8,NA,NA,NA,NA,33,NA,35.5,35.5,41.8,32.5,40.1,37.8,NA,7.8,41.3,NA,NA,NA,NA,NA,24.2,NA,NA,6.5,NA,NA,NA,NA,33,NA,NA,43
1990-12-01,NA,NA,24.4,NA,NA,NA,NA,21,NA,37,36.7,41.8,39.5,38.6,38.6,NA,17.1,42.6,NA,NA,NA,NA,NA,27.3,NA,NA,1.8,NA,NA,NA,NA,33,NA,NA,35.9
1991-01-01,NA,NA,24.7,NA,NA,NA,NA,22,NA,37.7,37.3,41.8,44.7,39.3,38.5,NA,28,42.8,NA,NA,NA,NA,NA,12.1,NA,NA,12.7,NA,NA,NA,NA,31.6,NA,NA,50.9
1991-02-01,NA,NA,34.5,NA,NA,NA,NA,26.5,NA,40.2,39.9,41.8,40.8,44.1,39.6,NA,45.3,44.4,NA,NA,NA,NA,NA,27.5,NA,NA,10.2,NA,NA,NA,NA,33.1,NA,NA,55.6
1991-03-01,NA,NA,18.7,NA,NA,NA,NA,17,NA,36.7,36.2,41.8,32.2,51,41.3,NA,34.5,38.9,NA,NA,NA,NA,NA,9.2,NA,NA,4.9,NA,NA,NA,NA,23.2,NA,NA,47.4
1991-04-01,NA,NA,18.7,NA,NA,NA,NA,22.5,NA,39,38.6,41.8,48.4,46.9,42.7,NA,35,39.9,NA,NA,NA,NA,NA,18.4,NA,NA,7.5,NA,NA,NA,NA,18.5,NA,NA,44.8
1991-05-01,NA,NA,21.1,NA,NA,NA,NA,30.5,NA,38.7,38.5,35.9,45.9,47.3,42.5,NA,36.4,42.2,NA,NA,NA,NA,NA,17.7,NA,NA,8.2,NA,NA,NA,NA,15,NA,NA,47.9
1991-06-01,NA,NA,21.5,NA,NA,NA,NA,30,NA,35.8,35.7,35.9,51,38,45.2,NA,41.1,38.6,NA,NA,NA,NA,NA,12.2,NA,NA,1.6,NA,NA,NA,NA,16.3,NA,NA,46.9
1991-07-01,NA,NA,23.2,NA,NA,NA,NA,30,NA,39.3,39.1,35.9,58.2,41.3,42.8,NA,44.2,39,NA,NA,NA,NA,NA,17.4,NA,NA,1.9,NA,NA,NA,NA,21.9,NA,NA,46.5
1991-08-01,NA,NA,23.2,NA,NA,NA,NA,28,NA,40.3,40,26,58.2,43.7,43.4,NA,46.7,39,NA,NA,NA,NA,NA,12.9,NA,NA,10.1,NA,NA,NA,NA,26,NA,NA,45.4
1991-09-01,NA,NA,26.3,NA,NA,NA,NA,29,NA,36.2,36,26,61.2,30.1,44.2,NA,49,41.8,NA,NA,NA,NA,NA,14.3,NA,NA,8.4,NA,NA,NA,NA,14.4,NA,NA,40.5
